Actors id,film_id
106405,1096473
106405,1172795
142784,44749
7605117,61189
67022,144765
142834,61058
63556,144774
63556,42159
61641,61074
42083,44696
45360,61483
45188,61514
45782,4015188
45782,740989
84878,1126798
16273,62592
44359,77609
44359,74011
16046,76647
145646,77674
4010,42383
53505,42294
142841,149791
43675,80530
154686,4500088
113471,4432750
14045,68079
147352,156641
19903,42361
19903,2466773
161436,13609396
61797,4015886
19672828,42856
53762,18999171
46165,1343342
4537,6982919
161516,92715
77491,4607980
46052,97734
99019,4836072
18433,161882
67943,4836350
61258,1715414
161898,161901
16103,161912
82847,99454
12561,99463
15821,163454
163461,163462
18617829,21913863
18617829,142447
170975,101935
159625,101943
16521,103011
42148,103026
42148,129368
20913302,25506
46228,15119799
168480,369508
161266,113445
168494,1065214
168534,113452
49706,168561
78781,58865
171003,129542
171003,3213691
171003,31724592
26274410,171011
2397,30006
2397,60642348
41906,133648
43568,468293
43568,41528
21111,54160
171515,142443
46344,142463
16768,44122
25695,3616797
100692,171623
200750,1897341
113746,460052
113746,15161999
325191,993226
564099,3276167
634431,2528212
56439,24987301
170409,25080984
16272829,31701975
27834683,37617614
7028414,39693688
52711,43159611
689839,46220189
213163,51952238
4109849,54978069
178826,57687434
154698,62844912
386491,66355520
481634,66850554
