Actress id,film_id
45794,61049
45794,171990
45794,61904
18823,172008
61354,61191
177739,177741
177771,177776
43337,177783
43337,70647
43337,7870124
43337,15119799
61350,44696
63517,177824
63517,1396988
180908,44437
180908,60157
32788,2804704
32788,3367826
64612,10873860
180982,74984
63534,4836948
67375,77672
41562,2279601
41562,190405
45969,4995581
88833,183741
88833,73970
183759,183768
183753,80533
187074,2066293
187098,187100
52139,76310
42620,7087167
190388,18023344
193843,193845
183785,193854
62032,92688
42357,193867
42357,9377241
44463,193882
206724,11324389
210214,161880
78239,77856
163347,97740
72336,12064241
82765,22332882
163012,217800
163012,101907
63520,223902
63520,103011
59216,236691
186041,225481
225497,21913863
68322,101935
202664,66870
240361,103033
240361,113449
63523,106337
63390,4016437
63390,30548208
147368,113427
206714,242550
182870,113463
80696,129331
18717883,689785
18717883,30006
84047,129444
519607,7074043
160985,133622
18220755,133688
67763,770348
68323,6707631
275355,142430
275355,50449686
275355,59935792
44569,142447
42621,88075
92289,543162
92289,1287385
16553,1241914
13717,703687
21504,3326435
5132,443556
93560,1641890
230698,6542034
2539269,10249080
52707,14149346
29455,22729553
38459,24480838
12684530,33502433
160126,38174667
243685,42102864
1339248,44425370
3741746,47204682
3741746,67063483
1856120,48856016
204352,55602934
17181314,60721693
147873,58342225
