Supporting Actor id,film_id
477177,1138873
477177,1364205
477177,1364187
768336,44210
768351,62122
774001,4837038
774567,1364192
774609,77665
145649,42383
779236,4199282
660337,42159
779283,80523
145064,11088642
779306,76402
463180,41881
342375,3367826
43913,156625
43913,161460
11181,42293
779370,1364174
15821,16040190
650385,92596
158061,30515
779392,1343342
167975,166813
167975,118569
779431,4608223
779475,37733687
161914,161880
161914,164376
709244,97769
62811,1364070
614519,161897
68308,17980087
779698,217776
153655,217819
438651,74868
598493,236691
323164,9720148
20913302,73875
70020,20889546
312482,3876620
312482,163451
167790,73425
598491,106335
167961,164401
598484,242539
18617829,113427
420922,1217079
520931,931949
61479,113464
61479,2804661
26709,3842730
221558,308898
100692,509676
277463,64394
598470,352455
12561,133574
248127,1822067
261053,528464
16768,167857
158106,142435
53242,142456
148905,171559
292592,37599
271275,184158
580137,200626
269416,460052
20584,1287385
158889,2392280
161895,7047921
171593,3920193
17173785,4276475
8104201,633052
8104201,31638720
331124,23652051
343134,28814788
483360,37617614
1086198,41684727
2227406,43117078
2214063,48320630
2214063,55935200
1360740,50449686
44849,56717294
9405817,62113200
68502180,66255918
266346,58342225
171045,66850554
